,box_start,box_end,probability_prior,probability_1,posterior_probability,probability_2
143,10,17,0.014423076923076924,0.0,0.01195219123505976,0.0
144,10,18,0.004807692307692308,0.0,0.00398406374501992,0.0
145,10,19,0.009615384615384616,0.0,0.00796812749003984,0.0
146,10,20,0.004807692307692308,0.023255813953488372,0.00796812749003984,0.043478260869565216
147,10,21,0.004807692307692308,0.0,0.00398406374501992,0.0
148,11,2,0.00816326530612245,0.0,0.007434944237918215,0.0
149,11,3,0.00816326530612245,0.0,0.007434944237918215,0.0
150,11,5,0.00816326530612245,0.0,0.007434944237918215,0.0
151,11,6,0.0326530612244898,0.0,0.02973977695167286,0.0
152,11,7,0.044897959183673466,0.041666666666666664,0.04460966542750929,0.1
153,11,8,0.00816326530612245,0.0,0.007434944237918215,0.0
154,11,9,0.053061224489795916,0.0,0.048327137546468404,0.0
155,11,10,0.24489795918367346,0.4583333333333333,0.26394052044609667,0.4
156,11,11,0.15918367346938775,0.125,0.15613382899628253,0.1
157,11,12,0.12653061224489795,0.125,0.12639405204460966,0.1
158,11,13,0.02857142857142857,0.0,0.026022304832713755,0.0
159,11,14,0.061224489795918366,0.041666666666666664,0.05947955390334572,0.1
160,11,15,0.07346938775510205,0.16666666666666666,0.08178438661710037,0.2
161,11,16,0.09795918367346938,0.041666666666666664,0.09293680297397769,0.0
162,11,17,0.012244897959183673,0.0,0.011152416356877323,0.0
163,11,19,0.00816326530612245,0.0,0.007434944237918215,0.0
164,11,20,0.0163265306122449,0.0,0.01486988847583643,0.0
165,11,21,0.004081632653061225,0.0,0.0037174721189591076,0.0
166,11,23,0.004081632653061225,0.0,0.0037174721189591076,0.0
167,12,1,0.006944444444444444,0.0,0.005952380952380952,0.0
168,12,3,0.020833333333333332,0.125,0.03571428571428571,0.0
169,12,6,0.006944444444444444,0.041666666666666664,0.011904761904761904,0.14285714285714285
170,12,7,0.08333333333333333,0.041666666666666664,0.07738095238095238,0.14285714285714285
171,12,8,0.1388888888888889,0.125,0.13690476190476192,0.14285714285714285
172,12,10,0.04861111111111111,0.0,0.041666666666666664,0.0
173,12,11,0.18055555555555555,0.08333333333333333,0.16666666666666666,0.0
174,12,12,0.22916666666666666,0.3333333333333333,0.24404761904761904,0.2857142857142857
175,12,14,0.006944444444444444,0.0,0.005952380952380952,0.0
176,12,15,0.0763888888888889,0.041666666666666664,0.07142857142857142,0.0
177,12,16,0.18055555555555555,0.20833333333333334,0.18452380952380953,0.2857142857142857
178,12,19,0.006944444444444444,0.0,0.005952380952380952,0.0
179,12,20,0.013888888888888888,0.0,0.011904761904761904,0.0
180,13,5,0.0028169014084507044,0.046511627906976744,0.007537688442211055,0.10526315789473684
181,13,7,0.0028169014084507044,0.0,0.002512562814070352,0.0
182,13,9,0.09859154929577464,0.09302325581395349,0.09798994974874371,0.15789473684210525
183,13,10,0.061971830985915494,0.09302325581395349,0.06532663316582915,0.15789473684210525
184,13,11,0.01971830985915493,0.023255813953488372,0.020100502512562814,0.05263157894736842
185,13,13,0.3408450704225352,0.2558139534883721,0.3316582914572864,0.21052631578947367
186,13,14,0.16338028169014085,0.18604651162790697,0.1658291457286432,0.05263157894736842
187,13,15,0.03943661971830986,0.09302325581395349,0.04522613065326633,0.15789473684210525
188,13,16,0.005633802816901409,0.023255813953488372,0.007537688442211055,0.0
189,13,17,0.19718309859154928,0.13953488372093023,0.19095477386934673,0.10526315789473684
190,13,18,0.030985915492957747,0.023255813953488372,0.03015075376884422,0.0
191,13,19,0.005633802816901409,0.0,0.005025125628140704,0.0
192,13,20,0.0028169014084507044,0.0,0.002512562814070352,0.0
193,13,21,0.014084507042253521,0.0,0.01256281407035176,0.0
194,13,22,0.011267605633802818,0.023255813953488372,0.01256281407035176,0.0
195,13,24,0.0028169014084507044,0.0,0.002512562814070352,0.0
196,14,6,0.0038022813688212928,0.0,0.003246753246753247,0.0
197,14,9,0.011406844106463879,0.022222222222222223,0.012987012987012988,0.07692307692307693
198,14,10,0.03802281368821293,0.022222222222222223,0.03571428571428571,0.0
199,14,11,0.04182509505703422,0.06666666666666667,0.045454545454545456,0.07692307692307693
